Location,Rank,Setting,Type,Enrollment,Tuition
East,1,Suburban,Private,5402,45000_and_up
East,2,Urban,Private,6699,45000_and_up
North,3,Urban,Private,5844,45000_and_up
East,3,City,Private,5532,45000_and_up
East,5,Urban,Private,6102,45000_and_up
West,5,Suburban,Private,6999,45000_and_up
East,7,Urban,Private,4527,45000_and_up
South,8,Suburban,Private,6639,45000_and_up
North,8,Urban,Private,9726,45000_and_up
East,10,Urban,Private,6524,45000_and_up
East,11,Rural,Private,4307,45000_and_up
West,12,Suburban,Private,1001,45000_and_up
North,12,Suburban,Private,8314,45000_and_up
East,14,City,Private,6652,45000_and_up
East,15,Rural,Private,14315,45000_and_up
South,15,Urban,Private,3910,35000_to_45000
North,15,Suburban,Private,8462,45000_and_up
South,15,Urban,Private,6883,45000_and_up
South,19,City,Private,7504,45000_and_up
South,20,City,Private,6867,45000_and_up
East,20,Urban,Private,7562,45000_and_up
West,20,City,Public,27496,35000_to_45000
West,23,Urban,Private,18810,45000_and_up
North,24,Urban,Private,6454,45000_and_up
West,24,Urban,Public,29585,35000_to_45000
South,24,Suburban,Public,16736,45000_and_up
East,27,Suburban,Private,5290,45000_and_up
North,27,City,Public,28312,35000_to_45000
South,27,Suburban,Private,4871,45000_and_up
South,30,Suburban,Public,18415,25000_to_35000
East,31,Suburban,Private,9192,45000_and_up
South,32,Suburban,Public,6301,35000_to_45000
East,32,Urban,Private,6304,45000_and_up
East,34,Suburban,Private,3621,45000_and_up
South,34,Urban,Public,15142,25000_to_35000
East,36,Urban,Private,25722,45000_and_up
North,37,Urban,Private,5121,45000_and_up
West,37,Suburban,Public,20607,35000_to_45000
East,39,Urban,Private,17932,45000_and_up
East,39,Urban,Private,13697,45000_and_up
East,39,Suburban,Private,5864,45000_and_up
South,39,Urban,Private,6662,45000_and_up
West,39,Suburban,Public,25256,35000_to_45000
North,44,City,Private,5075,45000_and_up
West,44,City,Public,28384,35000_to_45000
West,44,Urban,Public,26590,35000_to_45000
North,44,City,Public,33368,25000_to_35000
South,44,Suburban,Private,11122,45000_and_up
North,44,City,Public,31662,25000_to_35000
West,50,Suburban,Private,3533,45000_and_up
South,50,Suburban,Public,35043,25000_to_35000
North,50,Suburban,Private,6994,45000_and_up
North,50,City,Public,40742,25000_to_35000
North,54,Urban,Public,45289,25000_to_35000
West,54,Urban,Public,31063,25000_to_35000
East,56,Urban,Private,11157,45000_and_up
South,56,Urban,Private,6411,45000_and_up
South,56,City,Public,27547,25000_to_35000
South,56,Suburban,Public,39619,25000_to_35000
East,60,Urban,Private,8855,45000_and_up
North,60,City,Public,29497,25000_to_35000
East,60,City,Private,15196,45000_and_up
East,60,Rural,Public,18826,35000_to_45000
East,60,Suburban,Public,27443,25000_to_35000
East,60,City,Private,4299,45000_and_up
South,66,Suburban,Public,18016,25000_to_35000
East,66,Urban,Private,2744,35000_to_45000
West,68,City,Private,30221,25000_and_lower
North,68,Urban,Public,18908,25000_to_35000
East,70,City,Public,35484,25000_to_35000
South,71,City,Private,14189,35000_to_45000
East,71,City,Private,2873,45000_and_up
North,71,Urban,Public,34071,25000_and_lower
East,74,Suburban,Private,7909,35000_to_45000
East,74,City,Private,2397,35000_to_45000
South,74,City,Public,48960,25000_to_35000
East,74,Suburban,Public,22748,25000_to_35000
South,74,Suburban,Public,25384,25000_to_35000
North,79,Rural,Public,16387,25000_to_35000
West,79,Suburban,Public,16231,35000_to_45000
East,79,Suburban,Public,18322,25000_to_35000
South,82,Suburban,Public,4608,25000_to_35000
North,82,Suburban,Public,39143,35000_to_45000
South,82,Suburban,Private,8894,35000_to_45000
North,82,City,Public,23357,25000_to_35000
East,86,Suburban,Public,13491,25000_and_lower
North,86,City,Public,38364,25000_to_35000
North,86,Urban,Private,8334,35000_to_45000
South,86,City,Private,5758,45000_and_up
West,86,Urban,Private,5647,45000_and_up
South,86,City,Private,3478,35000_to_45000
South,92,City,Public,32706,25000_and_lower
South,92,City,Public,24111,25000_to_35000
South,92,City,Public,27010,35000_to_45000
East,92,Suburban,Public,10973,35000_to_45000
North,96,Urban,Private,14138,45000_and_up
South,96,Urban,Private,8248,35000_to_45000
East,96,Suburban,Public,16831,25000_to_35000
South,99,Suburban,Public,21786,25000_to_35000
North,99,City,Private,11079,35000_to_45000
East,99,City,Public,1839,25000_and_lower
East,99,Suburban,Public,19951,25000_to_35000
North,103,Urban,Private,2991,45000_and_up
South,103,Suburban,Public,31958,25000_to_35000
West,103,City,Public,20538,25000_to_35000
South,103,Urban,Public,21863,25000_to_35000
East,107,Suburban,Private,12607,35000_to_45000
East,107,Suburban,Public,13034,25000_to_35000
West,107,Urban,Private,6782,35000_to_45000
South,107,City,Public,25237,25000_to_35000
North,111,City,Public,30034,25000_and_lower
North,111,Suburban,Private,8665,35000_to_45000
South,111,City,Public,27812,25000_to_35000
North,111,City,Public,20182,25000_and_lower
South,111,City,Public,22132,25000_and_lower
West,111,City,Private,3735,35000_to_45000
West,111,Urban,Public,23794,25000_to_35000
North,118,Rural,Public,5721,25000_to_35000
East,118,Suburban,Private,6090,35000_to_45000
North,118,Urban,Public,28609,25000_to_35000
West,118,City,Public,18608,35000_to_45000
South,118,City,Public,19245,25000_to_35000
North,118,Urban,Private,6240,35000_to_45000
East,124,Urban,Private,3480,35000_to_45000
North,124,Urban,Private,15961,35000_to_45000
North,124,Urban,Private,5961,35000_to_45000
East,124,Urban,Private,6883,25000_and_lower
West,124,City,Public,33732,25000_to_35000
West,129,Urban,Public,41828,25000_to_35000
East,129,Rural,Private,3257,45000_and_up
South,129,City,Public,24433,25000_to_35000
East,129,Urban,Private,6792,45000_and_up
East,133,Suburban,Private,6824,35000_to_45000
South,133,City,Public,22705,25000_to_35000
South,135,City,Public,19859,25000_and_lower
South,135,Urban,Public,26156,25000_to_35000
South,135,City,Private,4667,35000_to_45000
East,135,Urban,Public,8008,25000_to_35000
East,135,Urban,Public,7713,25000_to_35000
South,135,City,Public,22159,25000_and_lower
North,135,Urban,Public,25054,25000_to_35000
South,135,Rural,Public,18785,25000_and_lower
South,143,Suburban,Public,23062,25000_to_35000
West,143,City,Public,24612,25000_to_35000
West,143,Rural,Public,24470,25000_to_35000
East,146,Suburban,Private,4852,25000_to_35000
North,146,Suburban,Public,23513,25000_and_lower
West,146,Urban,Public,29234,25000_and_lower
East,146,Suburban,Private,2805,25000_to_35000
East,146,Suburban,Public,12908,25000_and_lower
