Location,Rank,Setting,Type,Enrollment,Tuition
Princeton NJ,1,Suburban,Private,5402,45320
Cambridge MA,2,Urban,Private,6699,47074
Chicago IL,3,Urban,Private,5844,52491
New Haven CT,3,City,Private,5532,49480
New York NY,5,Urban,Private,6102,55056
Stanford CA,5,Suburban,Private,6999,47940
Cambridge MA,7,Urban,Private,4527,48452
Durham NC,8,Suburban,Private,6639,51265
Philadelphia PA,8,Urban,Private,9726,51464
Baltimore MD,10,Urban,Private,6524,50410
Hanover NH,11,Rural,Private,4307,51438
Pasadena CA,12,Suburban,Private,1001,47577
Evanston IL,12,Suburban,Private,8314,50855
Providence RI,14,City,Private,6652,51367
Ithaca NY,15,Rural,Private,14315,50953
Houston TX,15,Urban,Private,3910,43918
Notre Dame IN,15,Suburban,Private,8462,49685
Nashville TN,15,Urban,Private,6883,45610
St. Louis MO,19,City,Private,7504,49770
Atlanta GA,20,City,Private,6867,47954
Washington DC,20,Urban,Private,7562,50547
Berkeley CA,20,City,Public,27496,40191
Los Angeles CA,23,Urban,Private,18810,52217
Pittsburgh PA,24,Urban,Private,6454,52040
Los Angeles CA,24,Urban,Public,29585,39518
Charlottesville VA,24,Suburban,Public,16736,45066
Medford MA,27,Suburban,Private,5290,52430
Ann Arbor MI,27,City,Public,28312,43476
Winston-Salem NC,27,Suburban,Private,4871,49308
Chapel Hill NC,30,Suburban,Public,18415,33916
Chestnut Hill MA,31,Suburban,Private,9192,51296
Williamsburg VA,32,Suburban,Public,6301,41718
Rochester NY,32,Urban,Private,6304,50142
Waltham MA,34,Suburban,Private,3621,51570
Atlanta GA,34,Urban,Public,15142,32404
New York NY,36,Urban,Private,25722,49062
Cleveland OH,37,Urban,Private,5121,46006
Santa Barbara CA,37,Suburban,Public,20607,40704
Boston MA,39,Urban,Private,17932,50240
Boston MA,39,Urban,Private,13697,47655
Troy NY,39,Suburban,Private,5864,50797
New Orleans LA,39,Urban,Private,6662,51010
Irvine CA,39,Suburban,Public,25256,39458
Bethlehem PA,44,City,Private,5075,48320
Davis CA,44,City,Public,28384,40728
La Jolla CA,44,Urban,Public,26590,41387
Champaign IL,44,City,Public,33368,31320
Coral Gables FL,44,Suburban,Private,11122,47004
Madison WI,44,City,Public,31662,32738
Malibu CA,50,Suburban,Private,3533,50022
Gainesville FL,50,Suburban,Public,35043,28666
Villanova PA,50,Suburban,Private,6994,49280
University Park PA,50,City,Public,40742,32382
Columbus OH,54,Urban,Public,45289,29229
Seattle WA,54,Urban,Public,31063,34791
Washington DC,56,Urban,Private,11157,51950
Dallas TX,56,Urban,Private,6411,50358
Athens GA,56,City,Public,27547,29844
Austin TX,56,Suburban,Public,39619,34676
New York NY,60,Urban,Private,8855,47317
West Lafayette IN,60,City,Public,29497,28804
Syracuse NY,60,City,Private,15196,45022
Storrs CT,60,Rural,Public,18826,35858
College Park MD,60,Suburban,Public,27443,32045
Worcester MA,60,City,Private,4299,46994
Clemson SC,66,Suburban,Public,18016,32796
New York NY,66,Urban,Private,2744,40670
Provo UT,68,City,Private,30221,5300
Pittsburgh PA,68,Urban,Public,18908,29758
Piscataway NJ,70,City,Public,35484,30023
Waco TX,71,City,Private,14189,42006
Hoboken NJ,71,City,Private,2873,48838
Minneapolis MN,71,Urban,Public,34071,22210
Washington DC,74,Suburban,Private,7909,44853
Worcester MA,74,City,Private,2397,43150
College Station TX,74,City,Public,48960,28768
Amherst MA,74,Suburban,Public,22748,30123
Blacksburg VA,74,Suburban,Public,25384,29371
Oxford OH,79,Rural,Public,16387,31592
Santa Cruz CA,79,Suburban,Public,16231,40241
Newark DE,79,Suburban,Public,18322,31420
Golden CO,82,Suburban,Public,4608,34828
East Lansing MI,82,Suburban,Public,39143,39090
Fort Worth TX,82,Suburban,Private,8894,42670
Iowa City IA,82,City,Public,23357,28413
Binghamton NY,86,Suburban,Public,13491,22164
Bloomington IN,86,City,Public,38364,34246
Milwaukee WI,86,Urban,Private,8334,38470
Denver CO,86,City,Private,5758,46362
San Diego CA,86,Urban,Private,5647,46140
Tulsa OK,86,City,Private,3478,38796
Tallahassee FL,92,City,Public,32706,24673
Raleigh NC,92,City,Public,24111,26399
Boulder CO,92,City,Public,27010,35079
Burlington VT,92,Suburban,Public,10973,40364
Philadelphia PA,96,Urban,Private,14138,51030
St. Louis MO,96,Urban,Private,8248,40726
Stony Brook NY,96,Suburban,Public,16831,26266
Auburn AL,99,Suburban,Public,21786,28840
Chicago IL,99,City,Private,11079,41384
Syracuse NY,99,City,Public,1839,17620
Buffalo NY,99,Suburban,Public,19951,26270
Chicago IL,103,Urban,Private,2991,45214
Tuscaloosa AL,103,Suburban,Public,31958,26950
Eugene OR,103,City,Public,20538,33442
Knoxville TN,103,Urban,Public,21863,30858
Rochester NY,107,Suburban,Private,12607,38568
Durham NH,107,Suburban,Public,13034,31424
San Francisco CA,107,Urban,Private,6782,44494
Columbia SC,107,City,Public,25237,31282
Ames IA,111,City ,Public,30034,21483
Dayton OH,111,Suburban,Private,8665,40940
Columbia MO,111,City,Public,27812,25892
Lincoln NE,111,City,Public,20182,23148
Norman OK,111,City,Public,22132,21451
Stockton CA,111,City,Private,3735,44588
Salt Lake City UT,111,Urban,Public,23794,27039
Houghton MI,118,Rural,Public,5721,30968
South Orange NJ,118,Suburban,Private,6090,39258
Philadelphia PA,118,Urban,Public,28609,25994
Riverside CA,118,City,Public,18608,40263
Lawrence KS,118,City,Public,19245,25932
St. Paul MN,118,Urban,Private,6240,39594
Washington DC,124,Urban,Private,3480,42536
Chicago IL,124,Urban,Private,15961,37626
Pittsburgh PA,124,Urban,Private,5961,35062
Washington DC,124,Urban,Private,6883,24908
Tucson AZ,124,City,Public,33732,30025
Tempe AZ,129,Urban,Public,41828,25458
Potsdam NY,129,Rural,Private,3257,46132
Fort Collins CO,129,City,Public,24433,28374
New York NY,129,Urban,Private,6792,45535
Hempstead NY,133,Suburban,Private,6824,42160
Lexington KY,133,City,Public,22705,26334
Manhattan KS,135,City,Public,19859,23429
Baton Rouge LA,135,Urban,Public,26156,27005
Macon GA,135,City,Private,4667,35130
Newark NJ,135,Urban,Public,8008,30326
Newark NJ,135,Urban,Public,7713,29480
Fayetteville AR,135,City,Public,22159,23168
Cincinnati OH,135,Urban,Public,25054,26334
University MS,135,Rural,Public,18785,22012
Fairfax VA,143,Suburban,Public,23062,32582
Corvallis OR,143,City,Public,24612,28846
Pullman WA,143,Rural,Public,24470,25673
Garden City NY,146,Suburban,Private,4852,34034
Athens OH,146,Suburban,Public,23513,21208
San Diego CA,146,Urban,Public,29234,18244
Rochester NY,146,Suburban,Private,2805,31880
Albany NY,146,Suburban,Public,12908,22244
Richardson TX,146,Suburban,Public,15575,33654
