purchase,maintain,num_doors,num_passengers,trunks_size,safety_rating,overall
vhigh,vhigh,2,2,small,low,0
vhigh,vhigh,2,2,small,medium,0
vhigh,vhigh,2,2,small,high,0
vhigh,vhigh,2,2,medium,low,0
vhigh,vhigh,2,2,medium,medium,0
vhigh,vhigh,2,2,medium,high,0
vhigh,vhigh,2,2,big,low,0
vhigh,vhigh,2,2,big,medium,0
vhigh,vhigh,2,2,big,high,0
vhigh,vhigh,2,4,small,low,0
vhigh,vhigh,2,4,small,medium,0
vhigh,vhigh,2,4,small,high,0
vhigh,vhigh,2,4,medium,low,0
vhigh,vhigh,2,4,medium,medium,0
vhigh,vhigh,2,4,medium,high,0
vhigh,vhigh,2,4,big,low,0
vhigh,vhigh,2,4,big,medium,0
vhigh,vhigh,2,4,big,high,0
vhigh,vhigh,2,more,small,low,0
vhigh,vhigh,2,more,small,medium,0
vhigh,vhigh,2,more,small,high,0
vhigh,vhigh,2,more,medium,low,0
vhigh,vhigh,2,more,medium,medium,0
vhigh,vhigh,2,more,medium,high,0
vhigh,vhigh,2,more,big,low,0
vhigh,vhigh,2,more,big,medium,0
vhigh,vhigh,2,more,big,high,0
vhigh,vhigh,3,2,small,low,0
vhigh,vhigh,3,2,small,medium,0
vhigh,vhigh,3,2,small,high,0
vhigh,vhigh,3,2,medium,low,0
vhigh,vhigh,3,2,medium,medium,0
vhigh,vhigh,3,2,medium,high,0
vhigh,vhigh,3,2,big,low,0
vhigh,vhigh,3,2,big,medium,0
vhigh,vhigh,3,2,big,high,0
vhigh,vhigh,3,4,small,low,0
vhigh,vhigh,3,4,small,medium,0
vhigh,vhigh,3,4,small,high,0
vhigh,vhigh,3,4,medium,low,0
vhigh,vhigh,3,4,medium,medium,0
vhigh,vhigh,3,4,medium,high,0
vhigh,vhigh,3,4,big,low,0
vhigh,vhigh,3,4,big,medium,0
vhigh,vhigh,3,4,big,high,0
vhigh,vhigh,3,more,small,low,0
vhigh,vhigh,3,more,small,medium,0
vhigh,vhigh,3,more,small,high,0
vhigh,vhigh,3,more,medium,low,0
vhigh,vhigh,3,more,medium,medium,0
vhigh,vhigh,3,more,medium,high,0
vhigh,vhigh,3,more,big,low,0
vhigh,vhigh,3,more,big,medium,0
vhigh,vhigh,3,more,big,high,0
vhigh,vhigh,4,2,small,low,0
vhigh,vhigh,4,2,small,medium,0
vhigh,vhigh,4,2,small,high,0
vhigh,vhigh,4,2,medium,low,0
vhigh,vhigh,4,2,medium,medium,0
vhigh,vhigh,4,2,medium,high,0
vhigh,vhigh,4,2,big,low,0
vhigh,vhigh,4,2,big,medium,0
vhigh,vhigh,4,2,big,high,0
vhigh,vhigh,4,4,small,low,0
vhigh,vhigh,4,4,small,medium,0
vhigh,vhigh,4,4,small,high,0
vhigh,vhigh,4,4,medium,low,0
vhigh,vhigh,4,4,medium,medium,0
vhigh,vhigh,4,4,medium,high,0
vhigh,vhigh,4,4,big,low,0
vhigh,vhigh,4,4,big,medium,0
vhigh,vhigh,4,4,big,high,0
