Abbeville,SC,39,23958,25457
Acadia,LA,17,55741,59958
Accomack,VA,45,31803,38485
Ada,ID,11,207722,373406
Adair,IA,14,8397,7624
Adair,KY,16,15387,17830
Adair,MO,24,24584,24642
Adair,OK,35,18444,21902
Adams,CO,5,266629,422495
Adams,IA,14,4845,4096
Adams,ID,11,3257,3546
Adams,IL,12,66109,67046
Adams,IN,13,31160,33644
Adams,MS,23,35294,31710
Adams,ND,33,3157,2279
Adams,NE,26,29639,32990
Adams,OH,34,25411,28160
Adams,PA,37,78797,100779
Adams,WA,46,13636,16982
Adams,WI,48,15696,20675
Addison,VT,44,33150,36760
Aiken,SC,39,122046,152307
Aitkin,MN,22,12462,15910
Alachua,FL,8,182723,240082
Alamance,NC,32,108695,145360
Alameda,CA,4,1306166,1464202
Alamosa,CO,5,13602,15313
Albany,NY,31,292956,299307
Albany,WY,49,30879,32227
Albemarle,VA,45,68373,93117
Alcona,MI,21,10169,11538
Alcorn,MS,23,31791,35609
Aleutians East,AK,1,2477,2666
Aleutians West,AK,1,9599,4824
Alexander,IL,12,10579,8458
Alexander,NC,32,27652,36396
Alexandria,VA,45,111491,140024
Alfalfa,OK,35,6384,5593
Alger,MI,21,8974,9612
Allamakee,IA,14,13836,14610
Allegan,MI,21,90982,112761
Allegany,MD,19,74954,72594
Allegany,NY,31,50522,49637
Alleghany,NC,32,9622,10915
Alleghany,VA,45,12806,16387
Allegheny,PA,37,1336740,1219210
Allen,IN,13,301659,349488
Allen,KS,15,14640,13414
Allen,KY,16,14723,18899
Allen,LA,17,21232,25524
Allen,OH,34,109841,105233
Allendale,SC,39,11747,10475
Alpena,MI,21,30674,29707
Alpine,CA,4,1106,1145
Amador,CA,4,30302,38678
Amelia,VA,45,8823,12686
Amherst,VA,45,28694,32223
Amite,MS,23,13262,13345
Anchorage,AK,1,227614,279671
Anderson,KS,15,7778,7908
Anderson,KY,16,14672,21245
Anderson,SC,39,145538,179981
Anderson,TN,41,68406,73471
Anderson,TX,42,47980,56760
Andrew,MO,24,14696,16864
Andrews,TX,42,14270,13140
Androscoggin,ME,18,105412,106815
Angelina,TX,42,70037,82812
Anne Arundel,MD,19,428877,512154
Anoka,MN,22,245255,326252
Anson,NC,32,23498,25202
Antelope,NE,26,7942,6757
Antrim,MI,21,18258,24299
Apache,AZ,2,61939,69980
Appanoose,IA,14,13744,13019
Appling,GA,9,15776,17946
Appomattox,VA,45,12312,14199
Aransas,TX,42,17863,24721
Arapahoe,CO,5,393895,545089
Archer,TX,42,7980,9004
Archuleta,CO,5,5382,12572
Arenac,MI,21,14935,16608
Arkansas,AR,3,21666,19392
Arlington,VA,45,171164,204568
Armstrong,PA,37,73516,69059
Armstrong,TX,42,2018,2071
Aroostook,ME,18,87024,72047
Arthur,NE,26,468,356
Ascension,LA,17,58408,99056
Ashe,NC,32,22206,25531
Ashland,OH,34,47569,54902
Ashland,WI,48,16268,16296
Ashley,AR,3,24283,22326
Ashtabula,OH,34,99992,101141
Asotin,WA,46,17666,21111
Assumption,LA,17,22704,22991
Atascosa,TX,42,30554,43589
Atchison,KS,15,16904,16571
Atchison,MO,24,7401,6108
Athens,OH,34,59511,63275
Atkinson,GA,9,6223,8223
Atlantic,NJ,29,225431,270644
Atoka,OK,35,12773,14512
Attala,MS,23,18495,19600
Audrain,MO,24,23642,25892
Audubon,IA,14,7335,6072
Auglaize,OH,34,44684,46429
Augusta,VA,45,54882,70922
Aurora,SD,40,3130,2854
Austin,TX,42,19891,26610
Autauga,AL,0,34353,49960
Avery,NC,32,14925,17776
Avoyelles,LA,17,39121,42169
Baca,CO,5,4525,3871
Bacon,GA,9,9570,10507
Bailey,TX,42,7031,6357
Baker,FL,8,18594,25745
Baker,GA,9,3617,3781
Baker,OR,36,15433,15924
Baldwin,AL,0,98955,171769
Baldwin,GA,9,39627,46057
Ballard,KY,16,7883,8307
Baltimore city,MD,19,735632,637455
Baltimore,MD,19,694782,788994
Bamberg,SC,39,16883,15452
Bandera,TX,42,10629,20197
Banks,GA,9,10379,16556
Banner,NE,26,860,734
Bannock,ID,11,66258,79925
Baraga,MI,21,7970,8544
Barber,KS,15,5866,4786
Barbour,AL,0,25505,27941
Barbour,WV,47,15675,15532
Barnes,ND,33,12509,10783
Barnstable,MA,20,187335,222175
Barnwell,SC,39,20419,22975
Barren,KY,16,34094,41184
Barron,WI,48,40796,45606
Barrow,GA,9,30106,67139
Barry,MI,21,50139,59188
Barry,MO,24,27672,36197
Bartholomew,IN,13,63855,74750
Barton,KS,15,29270,27768
Barton,MO,24,11336,12719
Bartow,GA,9,56360,92834
Bastrop,TX,42,38260,72248
Bates,MO,24,14987,17034
Bath,KY,16,9718,11592
Bath,VA,45,4790,4635
Baxter,AR,3,31317,41950
Bay,FL,8,127323,163984
Bay,MI,21,111804,107517
Bayfield,WI,48,14025,15039
Baylor,TX,42,4362,3836
Beadle,SD,40,18288,15669
Bear Lake,ID,11,6082,5863
Beaufort,NC,32,42374,45771
Beaufort,SC,39,87222,147316
Beauregard,LA,17,30061,34776
Beaver,OK,35,5982,5380
Beaver,PA,37,186271,173074
Beaver,UT,43,4769,6090
Beaverhead,MT,25,8429,8804
Becker,MN,22,27921,31964
Beckham,OK,35,18770,19700
Bedford,PA,37,48015,49650
Bedford,TN,41,30583,44062
Bedford,VA,45,45671,66750
Bedford,VA,45,6307,6286
Bee,TX,42,25067,32689
Belknap,NH,28,49347,61048
Bell,KY,16,31496,28987
Bell,TX,42,191654,276975
Belmont,OH,34,70857,67908
Beltrami,MN,22,34504,43609
Ben Hill,GA,9,16217,17650
Benewah,ID,11,7944,9243
Bennett,SD,40,3194,3441
Bennington,VT,44,35854,36452
Benson,ND,33,7193,6971
Bent,CO,5,5028,5844
Benton,AR,3,98524,203107
Benton,IA,14,22425,26546
Benton,IN,13,9453,8810
Benton,MN,22,30359,39504
Benton,MO,24,13939,18470
Benton,MS,23,8028,8037
Benton,OR,36,71059,81428
Benton,TN,41,14580,16267
Benton,WA,46,113583,159414
Benzie,MI,21,12251,17510
Bergen,NJ,29,826129,895744
Berkeley,SC,39,129373,163622
Berkeley,WV,47,59839,99734
Berks,PA,37,337812,401955
Berkshire,MA,20,139423,129798
Bernalillo,NM,30,482696,629292
Berrien,GA,9,14153,16722
Berrien,MI,21,161415,159589
Bertie,NC,32,20390,18601
Bethel,AK,1,13717,17199
Bexar,TX,42,1187775,1594493
Bibb,AL,0,16697,21535
Bibb,GA,9,150268,154709
Bienville,LA,17,16212,14907
Big Horn,MT,25,11313,12798
Big Horn,WY,49,10487,11263
Big Stone,MN,22,6268,5385
Billings,ND,33,1090,798
Bingham,ID,11,37603,43466
Black Hawk,IA,14,124155,127446
Blackford,IN,13,14079,13189
Bladen,NC,32,28676,32301
Blaine,ID,11,13791,21560
Blaine,MT,25,6685,6550
Blaine,NE,26,662,448
Blaine,OK,35,11453,12475
Blair,PA,37,130593,125527
Blanco,TX,42,5964,9067
Bland,VA,45,6535,6883
Bleckley,GA,9,10463,12306
Bledsoe,TN,41,9711,13084
Blount,AL,0,39473,56614
Blount,TN,41,86317,119855
Blue Earth,MN,22,54179,59802
Boise,ID,11,3568,7571
Bolivar,MS,23,41874,37635
Bollinger,MO,24,10664,12118
Bon Homme,SD,40,7103,7071
Bond,IL,12,15027,18103
Bonner,ID,11,26767,41050
Bonneville,ID,11,72608,96545
Boone,AR,3,28360,36672
Boone,IA,14,25200,26391
Boone,IL,12,30981,53531
Boone,IN,13,38304,54137
Boone,KY,16,58123,112459
Boone,MO,24,112827,152435
Boone,NE,26,6668,5527
Boone,WV,47,25781,25201
Borden,TX,42,794,585
Bosque,TX,42,15131,17942
Bossier,LA,17,85957,108705
Botetourt,VA,45,25091,32005
Bottineau,ND,33,7952,6409
Boulder,CO,5,226374,290262
Boundary,ID,11,8345,10872
Bourbon,KS,15,14948,14803
Bourbon,KY,16,19247,19756
Bowie,TX,42,81992,91553
Bowman,ND,33,3578,2944
Box Butte,NE,26,13116,11001
Box Elder,UT,43,36568,47846
Boyd,KY,16,51072,48481
Boyd,NE,26,2830,2119
Boyle,KY,16,25605,28664
Bracken,KY,16,7801,8574
Bradford,FL,8,22605,28769
Bradford,PA,37,61078,61471
Bradley,AR,3,11808,11979
Bradley,TN,41,73990,95443
Branch,MI,21,41608,46194
Brantley,GA,9,11120,15440
Braxton,WV,47,13021,14639
Brazoria,TX,42,192644,294233
