Albania,3.38,1.59
Algeria,4.95,2.35
Angola,7.18,5.74
Argentina,3.02,2.24
Armenia,2.565,1.739
Aruba,2.27,1.73
Australia,1.838,1.83
Austria,1.385,1.385
Azerbaijan,2.97,2.14
Bahamas,2.65,1.89
Bahrain,3.85,2.6
Bangladesh,4.73,2.36
Barbados,1.76,1.53
Belarus,1.953,1.275
Belgium,1.57,1.8
Belize,4.58,2.91
Benin,6.81,5.44
Bhutan,5.91,2.57
Bolivia,4.95,3.48
Bosnia and Herzegovina,1.78,1.17
Botswana,4.86,2.86
Brazil,2.92,1.9
Brunei,3.61,2.09
Bulgaria,1.8,1.46
Burkina Faso,6.89,5.92
Burundi,6.51,4.6
Cambodia,5.9,2.75
Cameroon,6,4.63
Canada,1.648,1.568
Cape Verde,5.44,2.56
Central African Rep.,5.83,4.81
Chad,6.16,6.16
Channel Islands,1.46,1.43
Chile,2.64,1.89
China,2.44,1.63
Colombia,3.16,2.43
Comoros,5.74,5.05
Congo,7.05,6.02
Costa Rica,3.25,1.91
Cote d'Ivoire,6.4,4.61
Croatia,1.73,1.73
Cuba,1.79,1.5
Cyprus,2.43,1.49
Czech Rep.,1.87,1.41
Denmark,1.62,1.8923
Djibouti,6.27,3.91
Dominican Rep.,3.54,2.65
Ecuador,3.79,2.56
Egypt,4.52,2.83
El Salvador,4.05,2.32
Equatorial Guinea,5.9,5.33
Eritrea,6.26,4.64
Estonia,2.043,1.652
Ethiopia,7.08,4.52
Fiji,3.43,2.74
Finland,1.71,1.85
France,1.77,1.97
French Guiana,3.85,3.26
French Polynesia,3.42,2.15
Gabon,5.19,3.33
Gambia,6.11,5.06
Georgia,2.217,1.577
Germany,1.38,1.38
Ghana,5.73,4.3
Greece,1.46,1.46
Grenada,3.97,2.28
Guadeloupe,2.33,2.13
Guam,3.13,2.52
Guatemala,5.64,4.12
Guinea,6.8,5.41
Guinea-Bissau,6.68,5.22
Guyana,2.32,2.32
Haiti,5.55,3.5
Honduras,5.236,3.263
Hong Kong,1.291,1.011
India,3.99,2.7
Indonesia,3.23,2.18
Iran,5.15,1.73
Iraq,6.05,4.83
Ireland,2.06,2.09
Israel,3.02,2.91
Italy,1.31,1.39
Jamaica,3.01,2.39
Japan,1.61,1.33
Jordan,6.06,3.22
Kazakhstan,2.92,2.51
Kenya,6.23,4.79
Korea Dem. Rep.,2.43,2.04
Korea Rep.,1.61,1.29
Kuwait,2.84,2.29
Kyrgyzstan,3.93,2.67
Laos,6.22,2.95
Latvia,1.98,1.42
Lebanon,3.21,1.84
Lesotho,5,3.33
Liberia,6.6,5.38
Libya,5.15,2.69
Lithuania,2.03,1.41
Luxembourg,1.53,1.62
Macao China,1.8,1.02
Macedonia FYR,2.15,1.45
Madagascar,6.27,6.27
Malawi,6.85,6
Malaysia,3.55,2.7
Maldives,6.43,1.86
Mali,7.08,6.43
Malta,2.06,1.31
Martinique,2.08,1.91
Mauritania,5.99,4.67
Mauritius,2.3,1.66
Mayotte,6.19,4.3
Mexico,3.49,2.39
Moldova,2.51,1.49
Mongolia,4.4,2.47
Montenegro,1.9,1.68
Morocco,4.2,2.35
Mozambique,6.28,5.08
Myanmar,3.58,2.05
Namibia,5.36,3.36
Nepal,5.28,2.91
Netherlands,1.55,1.744
Netherlands Antilles,2.3,1.97
New Caledonia,3,2.17
New Zealand,2.32892,2.018
Nicaragua,4.87,2.72
Niger,7.82,7.17
Nigeria,6.46,5.6
Norway,1.88,1.883
Oman,7.46,2.44
Pakistan,6.14,3.58
Panama,3.08,2.55
Papua New Guinea,4.07,4.07
Paraguay,4.64,3.06
Peru,3.93,2.58
Philippines,4.4,3.26
Poland,2.09,1.32
Portugal,1.56,1.36
Puerto Rico,2.24,1.82
Qatar,4.35,2.4
Reunion,2.492,2.433
Romania,2.03,1.34
Russia,1.96,1.45
Rwanda,7.33,7.33
Saint Lucia,3.5,2.02
Saint Vincent and the Grenadines,3.01,2.11
Samoa,4.795,3.952
Sao Tome and Principe,5.5,3.82
Saudi Arabia,6,2.97
Senegal,6.75,4.98
Serbia,2.16,1.61
Sierra Leone,5.66,5.17
Singapore,1.75,1.28
Slovak Republic,2.09,1.27
Slovenia,1.56,1.39
Solomon Islands,5.96,4.36
Somalia,6.63,6.39
South Africa,3.79,2.54
Spain,1.38,1.42
Sri Lanka,2.601,2.326
Sudan,6.01,4.57
Suriname,2.82,2.4
Swaziland,5.91,3.53
Sweden,1.98,1.9
Switzerland,1.55,1.46
Syria,5.55,3.06
Taiwan,1.68,1.68
Tajikistan,5.27,3.42
Tanzania,6.27,5.57
Thailand,2.18,1.61
Timor-Leste,5.27,6.48
Togo,6.42,4.26
Tonga,4.69,4.01
Trinidad and Tobago,2.59,1.63
Tunisia,3.83,2.02
Turkey,3.14,2.13
Turkmenistan,4.44,2.48
Uganda,7.1,6.34
Ukraine,1.94,1.39
United Arab Emirates,4.57,1.84
United Kingdom,1.82,1.83
United States,1.93,1.93
Uruguay,2.52,2.11
Uzbekistan,4.27,2.42
Vanuatu,4.97,3.97
Venezuela,3.52,2.53
West Bank and Gaza,6.51,4.6
Western Sahara,4.67,2.66
Vietnam,3.75,1.86
Virgin Islands (U.S.),3.097,2.131
Zambia,6.53,6.21
Zimbabwe,5.38,3.43
